areaperil_id,lon,lat,IMTs
412,-71.45,19.65,SA(0.6)
413,-71.45,19.7,SA(0.6)
414,-71.45,19.75,SA(0.6)
415,-71.45,19.8,SA(0.6)
416,-71.45,19.85,SA(0.6)
417,-71.45,19.9,SA(0.6)
418,-71.45,19.95,SA(0.6)
419,-71.4,17.55,SA(0.6)
420,-71.4,17.6,SA(0.6)
421,-71.4,17.65,SA(0.6)
422,-71.4,17.7,SA(0.6)
423,-71.4,17.75,SA(0.6)
424,-71.4,17.8,SA(0.6)
425,-71.4,17.85,SA(0.6)
426,-71.4,17.9,SA(0.6)
427,-71.4,17.95,SA(0.6)
428,-71.4,18.0,SA(0.6)
429,-71.4,18.05,SA(0.6)
430,-71.4,18.1,SA(0.6)
431,-71.4,18.15,SA(0.6)
432,-71.4,18.2,SA(0.6)
433,-71.4,18.25,SA(0.6)
434,-71.4,18.3,SA(0.6)
435,-71.4,18.35,SA(0.6)
436,-71.4,18.4,SA(0.6)
437,-71.4,18.45,SA(0.6)
438,-71.4,18.5,SA(0.6)
439,-71.4,18.55,SA(0.6)
440,-71.4,18.6,SA(0.6)
441,-71.4,18.65,SA(0.6)
442,-71.4,18.7,SA(0.6)
443,-71.4,18.75,SA(0.6)
444,-71.4,18.8,SA(0.6)
445,-71.4,18.85,SA(0.6)
446,-71.4,18.9,SA(0.6)
447,-71.4,18.95,SA(0.6)
448,-71.4,19.0,SA(0.6)
449,-71.4,19.05,SA(0.6)
450,-71.4,19.1,SA(0.6)
451,-71.4,19.15,SA(0.6)
452,-71.4,19.2,SA(0.6)
453,-71.4,19.25,SA(0.6)
454,-71.4,19.3,SA(0.6)
455,-71.4,19.35,SA(0.6)
456,-71.4,19.4,SA(0.6)
457,-71.4,19.45,SA(0.6)
458,-71.4,19.5,SA(0.6)
459,-71.4,19.55,SA(0.6)
460,-71.4,19.6,SA(0.6)
461,-71.4,19.65,SA(0.6)
462,-71.4,19.7,SA(0.6)
463,-71.4,19.75,SA(0.6)
464,-71.4,19.8,SA(0.6)
465,-71.4,19.85,SA(0.6)
466,-71.4,19.9,SA(0.6)
467,-71.4,19.95,SA(0.6)
468,-71.35,17.55,SA(0.6)
469,-71.35,17.6,SA(0.6)
470,-71.35,17.65,SA(0.6)
471,-71.35,17.7,SA(0.6)
472,-71.35,17.75,SA(0.6)
473,-71.35,17.8,SA(0.6)
474,-71.35,17.85,SA(0.6)
475,-71.35,17.9,SA(0.6)
476,-71.35,17.95,SA(0.6)
477,-71.35,18.0,SA(0.6)
478,-71.35,18.05,SA(0.6)
479,-71.35,18.1,SA(0.6)
480,-71.35,18.15,SA(0.6)
481,-71.35,18.2,SA(0.6)
482,-71.35,18.25,SA(0.6)
483,-71.35,18.3,SA(0.6)
484,-71.35,18.35,SA(0.6)
